ID,Username,"Weekly Quest
(Reset Monday)",Gacha Ticket From Casual ( Reset each month),Gacha Ticket From Adventure ( Reset each month),Bought Discounted MYO slot,Gacha Cooldown,Hide,Coins,Lucky Potion,Discounted MYO slot,MYO slot,Premium MYO slot (Common),Premium MYO slot (Uncom),Premium MYO slot (Rare),Puff Colony MYO Slot,Random Jewel-Bite,Common Trait Jewel-Bite,Uncommon Trait Jewel-Bite,Rare Trait Jewel-Bite,SR Trait Jewel-Bite,Shark Jewel-bite,Gold Jewel-bite,Crystal Jewel-bite,Pearl Jewel-bite,Glass Jewel-bite,Metal Jewel-bite,Spike Jewel-bite,Bone Jewel-bite,Armor Scale Jewel-bite,Dark Jewel-bite,Light Jewel bite,Wind Jewel bite,Fire Jewel-bite,Water Jewel-bite,Earth Jewel-bite,Pastry jewel-bite,Radiant Crack Jewel-bite,Snow Jewel-bite,Flora Jewel-bite,Living Doll Jewel-bite,Rotten Jewel-bite,Glow Jewel-bite,Blade Wings Jewel-bite,Curl Wings Jewel-bite,Shimmer Jewel-bite,Magic Marking Jewel-bite,Levitate Jewel-bite,Insect Wings Jewel-bite,Astral Ring Jewel-bite,Fur tail Jewel-bite,PomPom Jewel-bit,Adaptable Horn Jewel-bite,Double Limbs Jewel-bite,Cosmic Mirror,Star Chorus,Heartbound Crystal,Spirit Jewel-bite,Necromancer Jewel-bite,Transparent Jewel-bite,Corrupted jewel-bite,Hand-wings Jewel-bite,Cross Tail-tip Jewel-bite,Puff in a Box Jewel-bite,No Webbing Jewel-bite,Sprout Tail-tip Jewel-bite,Astral Jewel-bite,One-horn Jewel-bite,Twins Jewel-bite,Stone Jewel-bite,Coral Jewel-bite,Master Elemental Jewel-bite,Will-o'-Wisp Jewel-bite,Sea Bunny Jewel-bite,Phoenix Jewel-bite,Scorpion Jewel-bite,Octo Jewel-bite,Peacock Jewel-bite,Brush Tail Tip Jewel-bite,Test Gem (t),Test Gem (s),Tradeable Only (t),Soulbound Only (s),Regular Item,Lucky Potion (Free)
1,_keiken01,FALSE,FALSE,FALSE,FALSE,,FALSE,100,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,,1,2
2,_reddish,FALSE,FALSE,FALSE,FALSE,6/11/2025,FALSE,50,3,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,10,,5,5,,
3,.archivist,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,.tryckster.,FALSE,FALSE,FALSE,FALSE,6/11/2025,FALSE,8,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,.yaoyao.,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AidenHadAids,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ani_leaf,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,anzamistravis_23224,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,apology,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,arcadianbun,FALSE,FALSE,FALSE,FALSE,4/11/2025,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
11,artsyp_anda,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,banmon,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,berbirry,FALSE,FALSE,FALSE,FALSE,7/11/2025,FALSE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
14,berrywolf,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,bobodi,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,c.t.ketan,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,canineking,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,celerystack,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,chibiaero,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,chuuchichu,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,confessionals,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,cracked.skullz,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,denimlich,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,diabolicbab,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,dino_draws,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,dunkhaerion,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
